Unnamed: 0,filename,x1,y1,x2,y2,blur,expression,illumination,invalid,occlusion,pose,original_width,original_height,relative_area,Gender,Race,Valid,Gender_Race,area_bin
2,0--Parade/0_Parade_marchingband_1_483.jpg,583.0,379.0,640.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0044937133789062,Female,Indian,True,Female_Indian,0.0
3,0--Parade/0_Parade_marchingband_1_483.jpg,676.0,299.0,721.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0034332275390625,Male,White,True,Male_White,0.0
4,0--Parade/0_Parade_marchingband_1_483.jpg,616.0,275.0,655.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0020332336425781,Male,White,True,Male_White,0.0
5,0--Parade/0_Parade_marchingband_1_483.jpg,617.0,224.0,654.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0017407735188802,Male,White,True,Male_White,0.0
6,0--Parade/0_Parade_marchingband_1_483.jpg,453.0,294.0,497.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0029652913411458,Male,White,True,Male_White,0.0
7,0--Parade/0_Parade_marchingband_1_483.jpg,361.0,281.0,394.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0018043518066406,Female,White,True,Female_White,0.0
8,0--Parade/0_Parade_marchingband_1_483.jpg,374.0,380.0,424.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0034968058268229,Male,White,True,Male_White,0.0
9,0--Parade/0_Parade_marchingband_1_483.jpg,250.0,414.0,292.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0028305053710937,Male,White,True,Male_White,0.0
10,0--Parade/0_Parade_marchingband_1_483.jpg,485.0,419.0,533.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.00396728515625,Female,White,True,Female_White,0.0
15,0--Parade/0_Parade_Parade_0_761.jpg,207.0,459.0,537.0,900.0,0.0,1.0,0.0,0.0,0.0,0.0,1024.0,1536.0,0.0925254821777343,Female,White,True,Female_White,3.0
17,0--Parade/0_Parade_marchingband_1_1038.jpg,332.0,128.0,542.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.07904052734375,Male,White,True,Male_White,2.0
18,0--Parade/0_Parade_marchingband_1_1038.jpg,542.0,232.0,726.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0622355143229166,Female,White,True,Female_White,2.0
20,0--Parade/0_Parade_Parade_0_595.jpg,93.0,183.0,199.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1588.0,0.0086697595245591,Female,White,True,Female_White,0.0
21,0--Parade/0_Parade_Parade_0_595.jpg,450.0,161.0,577.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1588.0,0.0135894698520151,Female,White,True,Female_White,0.0
30,0--Parade/0_Parade_marchingband_1_431.jpg,254.0,416.0,404.0,560.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,683.0,0.0308839677891654,Male,White,True,Male_White,1.0
38,0--Parade/0_Parade_marchingband_1_95.jpg,828.0,209.0,884.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,683.0,0.0060852855051244,Male,Indian,True,Male_Indian,0.0
39,0--Parade/0_Parade_marchingband_1_95.jpg,661.0,258.0,710.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,683.0,0.0045539554355783,Female,Asian,True,Female_Asian,0.0
40,0--Parade/0_Parade_marchingband_1_95.jpg,503.0,253.0,551.0,319.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,683.0,0.0045296486090775,Female,White,True,Female_White,0.0
41,0--Parade/0_Parade_marchingband_1_95.jpg,366.0,181.0,417.0,255.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,683.0,0.0053961154831625,Male,White,True,Male_White,0.0
42,0--Parade/0_Parade_marchingband_1_95.jpg,148.0,176.0,202.0,244.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,683.0,0.0052502745241581,Male,White,True,Male_White,0.0
48,0--Parade/0_Parade_Parade_0_371.jpg,188.0,140.0,310.0,314.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,672.0,0.0308489118303571,Male,White,True,Male_White,1.0
49,0--Parade/0_Parade_Parade_0_371.jpg,316.0,114.0,394.0,240.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,672.0,0.0142822265625,Male,White,True,Male_White,0.0
50,0--Parade/0_Parade_Parade_0_371.jpg,424.0,92.0,520.0,244.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,672.0,0.0212053571428571,Male,White,True,Male_White,0.0
51,0--Parade/0_Parade_Parade_0_371.jpg,576.0,128.0,650.0,252.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,672.0,0.013334728422619,Male,White,True,Male_White,0.0
52,0--Parade/0_Parade_Parade_0_371.jpg,700.0,120.0,826.0,296.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,672.0,0.0322265625,Male,White,True,Male_White,1.0
63,0--Parade/0_Parade_Parade_0_811.jpg,564.0,122.0,688.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,732.0,0.0238217213114754,Male,White,True,Male_White,0.0
64,0--Parade/0_Parade_Parade_0_811.jpg,368.0,260.0,474.0,396.0,0.0,0.0,0.0,0.0,1.0,0.0,1024.0,732.0,0.0192324112021857,Male,White,True,Male_White,0.0
65,0--Parade/0_Parade_Parade_0_773.jpg,209.0,888.0,734.0,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1702.0,0.2334540935296709,Male,White,True,Male_White,8.0
72,0--Parade/0_Parade_marchingband_1_743.jpg,350.0,256.0,502.0,432.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,684.0,0.0381944444444444,Female,White,True,Female_White,1.0
93,0--Parade/0_Parade_marchingband_1_419.jpg,772.0,202.0,824.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.004364013671875,Female,White,True,Female_White,0.0
94,0--Parade/0_Parade_marchingband_1_419.jpg,515.0,252.0,571.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0043436686197916,Female,White,True,Female_White,0.0
95,0--Parade/0_Parade_marchingband_1_419.jpg,319.0,206.0,368.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0042991638183593,Female,White,True,Female_White,0.0
